"title","date_time_begin","date_time_end","url","location_name","location_lat","location_lng","tags"
"Projektübergreifendes Open-Source-Treffen","2009-09-25T18:00:00","","http://www.opensourcetreffen.de/","Café Netzwerk","48.14403","11.56236",""
"AK Enterprise Architecture Management","2009-09-28T19:00:00","","http://de.groups.yahoo.com/group/gi-muc-ak-eam/","Cirquent GmbH","48.1372535533","11.6472458839",""
"Crystal Clear explained","2009-10-01T18:00:00","","http://www.mayflower.de","Mayflower","48.1353024510486","11.5853190422058",""
"PowerShell Anwendergruppe","2009-10-01T18:00:00","","http://www.microsoft.com/germany/unternehmen/informationen/gmbh_profil/niederlassungen/muenchen.mspx","Microsoft München","48.29045","11.58162",""
"JBoss User Group","2009-10-05T19:00:00","","http://www.jbug-munich.de/index.php/termine","Firma mgm technology partners","48.1881217","11.5856197",""
"REST aber richtig!","2009-10-08T18:00:00","","http://blog.thinkphp.de/archives/442-REST-aber-richtig!-VortragMayflower-Muenchen-diesmal.html","Mayflower","48.1353024510486","11.5853190422058",""
"Typo3Camp Munich","2009-10-09T00:00:00","2009-10-11T00:00:00","http://typo3camp-munich.mixxt.de/","School for Audio Engineering","48.0875316","11.6296303",""
"Coworking","2009-10-09T11:00:00","","http://niederlassung.mixxt.de","Niederlassung","48.1326463388206","11.5771876145444",""
"Ubuntu Anwendertreffen","2009-10-09T19:00:00","","http://wiki.ubuntuusers.de/Anwendertreffen/M%C3%BCnchen","Froschkönig","48.1509485","11.5424327",""
"Wikipedia Stammtisch","2009-10-10T19:00:00","","http://de.wikipedia.org/wiki/Wikipedia:M%C3%BCnchen","Dal Cavaliere","48.1287082","11.5947714",""
"Java User Group","2009-10-12T19:00:00","","http://www.jugm.de/","Firma mgm technology partners","48.1881217","11.5856197",""
"Moderne Enterprise-Java-Entwicklung mit dem Spring Framework","2009-10-13T10:00:00","2009-10-13T14:00:00","http://www.example.com","Marriott Hotel","48.17453","11.59262",""
"Scrumtisch München","2009-10-13T19:00:00","","http://www.example.com","Tagungszentrum Kolpinghaus","48.1381238","11.56264",""
"nerdnite","2009-10-13T19:00:00","","http://muenchen.nerdnite.com/","Niederlassung","48.1326463388206","11.5771876145444",""
"µc³ Öffentliches Treffen","2009-10-13T19:30:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"HTML 5 - CSS 3 neue features","2009-10-15T18:00:00","","http://blog.thinkphp.de/archives/443-XHTML-5-CSS-3-neue-features-VortragMayflower-Muenchen.html","Mayflower","48.1353024510486","11.5853190422058",""
"Arbeitslandschaft 2030 – Die Situation der Arbeitskräfte und Arbeitsplätze der Zukunft","2009-10-15T18:15:00","","http://www.example.com","Klinikum der Universität München - Campus Innenstadt","","",""
"Coworking","2009-10-16T11:00:00","","http://niederlassung.mixxt.de","Niederlassung","48.1326463388206","11.5771876145444",""
"Barcamp Munich 2009","2009-10-17T08:30:00","2009-10-18T17:00:00","http://barcampmunich.mixxt.de/","Messe München","","",""
"webcific","2009-10-19T09:00:00","2009-10-19T19:30:00","http://webcific.com/","Messe München","","",""
"AK Requirements","2009-10-19T18:00:00","","http://wwwspies.informatik.tu-muenchen.de/gi/","Swiss Life","48.1745178956","11.5902596712",""
"CloudCamp Munich","2009-10-20T18:00:00","","http://cloudcampmunich.mixxt.de","Sun Microsystems GmbH","48.15772","11.75938",""
"OpenStreetMap-Treff","2009-10-20T19:00:00","","http://wiki.openstreetmap.org/index.php/M%C3%BCnchen","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
".NET Coding Dojo","2009-10-21T18:00:00","","http://www.example.com","AutoScout24 GmbH","48.12338","11.60491",""
"Open Web Application Security Project","2009-10-21T19:00:00","","http://www.owasp.org/index.php/OWASP_German_Chapter_Stammtisch_Initiative#tab=M.C3.BCnchen","Gasthaus Fagana","48.2086046","11.5313107",""
"LUG München","2009-10-21T20:00:00","","http://www.muc-lug.de/","Gaststätte ""Rhaetenhaus""","48.1447889","11.5629235",""
"Deutsche Oracle Anwendergruppe","2009-10-22T17:30:00","","http://mydoag.doag.org/termine/termine.php?tid=169167","ORACLE Deutschland GmbH","48.18008","11.536599",""
"Munich OpenSolaris Usergroup Treffen","2009-10-22T19:00:00","","http://de.sun.com/aboutsun/location/map-muenchen.jsp","Sun Microsystems GmbH","48.15772","11.75938",""
"Coworking","2009-10-23T11:00:00","","http://niederlassung.mixxt.de","Niederlassung","48.1326463388206","11.5771876145444",""
"Tag der offenen Tür im Leibniz-Rechenzentrum","2009-10-24T11:00:00","2009-10-24T18:00:00","http://www.badw-muenchen.de/aktuell/termine/","Leibniz-Rechenzentrum","48.261684","11.669497",""
"Java User Group","2009-10-26T19:00:00","","http://www.jugm.de/","Firma mgm technology partners","48.1881217","11.5856197",""
"AK Enterprise Architecture Management","2009-10-26T19:00:00","","http://de.groups.yahoo.com/group/gi-muc-ak-eam/","Cirquent GmbH","48.1372535533","11.6472458839",""
"Games Lounge #78","2009-10-26T20:00:00","","http://videospielkultur.org/","Videospielkultur e. V.","48.131604","11.5654143",""
"Spezial zum Thema Thunderbird 3","2009-10-27T18:30:00","","http://www.opensourcetreffen.de/","Café Netzwerk","48.14403","11.56236",""
"Subversion Roundtable","2009-10-27T19:00:00","","http://www.example.com","NH München-Dornach Messe- und Kongresshotel","48.1467887","11.68765",""
"GirlGeekDinner","2009-10-27T19:00:00","","http://girlgeekdinner.de/","Niederlassung","48.1326463388206","11.5771876145444",""
"Schwierige Zeiten: Strategische Kommunikation bei Personalabbau","2009-10-27T19:00:00","","http://www.webgrrls.de","Seidlvilla","48.15867","11.58773",""
"Patterns for Effective Use Cases","2009-10-29T18:00:00","","http://blog.thinkphp.de/archives/449-Patterns-for-Effective-Use-Cases-VortragMayflower-Muenchen.html","Mayflower","48.1353024510486","11.5853190422058",""
"Karmic-Koala-Install-Party","2009-10-29T18:00:00","","http://www.example.com","Froschkönig","48.1509485","11.5424327",""
".net Developers Group","2009-10-29T18:00:00","","http://www.munichdot.net/Events/578.aspx","Firma TESIS","48.09886","11.53357",""
"Coworking","2009-10-30T11:00:00","","http://niederlassung.mixxt.de","Niederlassung","48.1326463388206","11.5771876145444",""
"mobiledevcamp Munich","2009-10-31T09:00:00","2009-10-31T18:00:00","http://www.mobiledevcamp.de/","Intel Deutschland","48.151","11.7257",""
"Mapping Expedition Lechfeld","2009-10-31T09:00:00","","http://www.example.com","","","",""
"Münchner Nagios-Stammtisch","2009-11-02T18:00:00","","http://www.example.com","Firma ConSol","48.12526","11.58897",""
"JBoss User Group","2009-11-02T19:00:00","","http://www.jbug-munich.de/index.php/termine","Firma mgm technology partners","48.1881217","11.5856197",""
".NET Coding Dojo München","2009-11-04T18:00:00","","http://www.example.com","AutoScout24 GmbH","48.12338","11.60491",""
"Open Source Storage-Alternativen","2009-11-04T19:00:00","","http://www.example.com","Unions-Bräu Haidhausen","48.1354295524732","11.6008529507231",""
"Hacking PHP Web Apps","2009-11-05T18:00:00","","http://blog.thinkphp.de/archives/450-Hacking-PHP-Web-Apps-VortragMayflower-Muenchen.html","Mayflower","48.1353024510486","11.5853190422058",""
"Admin-Stammtisch: Einführung und Diskussion zu verteilten Filesystemen","2009-11-09T19:00:00","","http://www.guug.de/lokal/muenchen","Hochschule München","","",""
"Innovativer Benutzungsschnittstellen","2009-11-09T19:30:00","","http://wwwspies.informatik.tu-muenchen.de/gi/","Hotel Eden-Wolff","48.14168","11.55931",""
"µc³ Öffentliches Treffen","2009-11-10T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"agiletuesday","2009-11-10T19:00:00","","http://www.example.com","Conti Bistro im Haus der Bayerischen Wirtschaft","48.1430956766712","11.5700626373291",""
"Mit Respekt und Resonanz zu mehr Verkaufserfolg: Neue Wege in der Kaltakquise","2009-11-11T19:00:00","","http://www.webgrrls.de","Seidlvilla","48.15867","11.58773",""
